Angle,Intensity
13.17096327,1436
13.18409355,1376
13.19722383,1355
13.21035411,1380
13.2234844,1441
13.23661468,1386
13.24974496,1377
13.26287524,1428
13.27600553,1450
13.28913581,1395
13.30226609,1507
13.31539638,1416
13.32852666,1413
13.34165694,1416
13.35478722,1392
13.36791751,1453
13.38104779,1431
13.39417807,1378
13.40730835,1371
13.42043864,1424
13.43356892,1438
13.4466992,1408
13.45982948,1468
13.47295977,1438
13.48609005,1400
13.49922033,1362
13.51235062,1385
13.5254809,1395
13.53861118,1329
13.55174146,1401
13.56487175,1414
13.57800203,1393
13.59113231,1381
13.60426259,1409
13.61739288,1385
13.63052316,1419
13.64365344,1446
13.65678372,1374
13.66991401,1343
13.68304429,1402
13.69617457,1442
13.70930486,1478
13.72243514,1451
13.73556542,1417
13.7486957,1396
13.76182599,1449
13.77495627,1411
13.78808655,1414
13.80121683,1399
13.81434712,1427
13.8274774,1367
13.84060768,1370
13.85373796,1381
13.86686825,1363
13.87999853,1339
13.89312881,1422
13.9062591,1367
13.91938938,1356
13.93251966,1421
13.94564994,1390
13.95878023,1378
13.97191051,1340
13.98504079,1419
13.99817107,1471
14.01130136,1353
14.02443164,1410
14.03756192,1382
14.05069221,1378
14.06382249,1415
14.07695277,1335
14.09008305,1435
14.10321334,1386
14.11634362,1352
14.1294739,1400
14.14260418,1369
14.15573447,1386
14.16886475,1391
14.18199503,1387
14.19512531,1358
14.2082556,1419
14.22138588,1394
14.23451616,1417
14.24764645,1397
14.26077673,1444
14.27390701,1403
14.28703729,1382
14.30016758,1384
14.31329786,1489
14.32642814,1418
14.33955842,1412
14.35268871,1366
14.36581899,1359
14.37894927,1452
14.39207955,1379
14.40520984,1401
14.41834012,1407
14.4314704,1343
14.44460069,1463
14.45773097,1404
14.47086125,1412
14.48399153,1335
14.49712182,1389
14.5102521,1395
14.52338238,1408
14.53651266,1380
14.54964295,1358
14.56277323,1406
14.57590351,1387
14.58903379,1372
14.60216408,1395
14.61529436,1345
14.62842464,1473
14.64155493,1368
14.65468521,1383
14.66781549,1408
14.68094577,1405
14.69407606,1337
14.70720634,1342
14.72033662,1437
14.7334669,1373
14.74659719,1340
14.75972747,1386
14.77285775,1401
14.78598804,1371
14.79911832,1390
14.8122486,1359
14.82537888,1439
14.83850917,1294
14.85163945,1407
14.86476973,1369
14.87790001,1433
14.8910303,1373
14.90416058,1327
14.91729086,1402
14.93042114,1324
14.94355143,1342
14.95668171,1356
14.96981199,1384
14.98294228,1436
14.99607256,1425
15.00920284,1408
15.02233312,1364
15.03546341,1347
15.04859369,1375
15.06172397,1348
15.07485425,1315
15.08798454,1365
15.10111482,1369
15.1142451,1450
15.12737538,1398
15.14050567,1414
15.15363595,1355
15.16676623,1377
15.17989652,1353
15.1930268,1335
15.20615708,1400
15.21928736,1286
15.23241765,1391
15.24554793,1391
15.25867821,1454
15.27180849,1330
15.28493878,1305
15.29806906,1414
15.31119934,1393
15.32432962,1366
15.33745991,1344
15.35059019,1384
15.36372047,1340
15.37685076,1408
15.38998104,1441
15.40311132,1335
15.4162416,1376
15.42937189,1380
15.44250217,1351
15.45563245,1406
15.46876273,1381
15.48189302,1308
15.4950233,1331
15.50815358,1366
15.52128386,1394
15.53441415,1360
15.54754443,1450
15.56067471,1376
15.573805,1343
15.58693528,1363
15.60006556,1388
15.61319584,1307
15.62632613,1398
15.63945641,1325
15.65258669,1303
15.66571697,1318
15.67884726,1337
15.69197754,1319
15.70510782,1323
15.71823811,1348
15.73136839,1391
15.74449867,1324
15.75762895,1353
15.77075924,1301
15.78388952,1294
15.7970198,1396
15.81015008,1356
15.82328037,1353
15.83641065,1288
15.84954093,1331
15.86267121,1342
15.8758015,1413
15.88893178,1396
15.90206206,1325
15.91519235,1327
15.92832263,1401
15.94145291,1404
15.95458319,1375
15.96771348,1311
15.98084376,1298
15.99397404,1347
16.00710432,1349
16.02023461,1401
16.03336489,1410
16.04649517,1353
16.05962545,1309
16.07275574,1348
16.08588602,1294
16.0990163,1366
16.11214659,1329
16.12527687,1380
16.13840715,1338
16.15153743,1392
16.16466772,1455
16.177798,1343
16.19092828,1375
16.20405856,1352
16.21718885,1383
16.23031913,1395
16.24344941,1377
16.25657969,1393
16.26970998,1310
16.28284026,1358
16.29597054,1317
16.30910083,1302
16.32223111,1362
16.33536139,1384
16.34849167,1450
16.36162196,1326
16.37475224,1354
16.38788252,1370
16.4010128,1418
16.41414309,1303
16.42727337,1377
16.44040365,1337
16.45353394,1332
16.46666422,1325
16.4797945,1372
16.49292478,1355
16.50605507,1283
16.51918535,1430
16.53231563,1360
16.54544591,1363
16.5585762,1301
16.57170648,1338
16.58483676,1390
16.59796704,1342
16.61109733,1429
16.62422761,1395
16.63735789,1365
16.65048818,1332
16.66361846,1286
16.67674874,1300
16.68987902,1355
16.70300931,1334
16.71613959,1301
16.72926987,1297
16.74240015,1397
16.75553044,1345
16.76866072,1409
16.781791,1361
16.79492128,1353
16.80805157,1307
16.82118185,1262
16.83431213,1384
16.84744242,1317
16.8605727,1377
16.87370298,1346
16.88683326,1316
16.89996355,1391
16.91309383,1389
16.92622411,1369
16.93935439,1413
16.95248468,1310
16.96561496,1440
16.97874524,1336
16.99187552,1325
17.00500581,1424
17.01813609,1367
17.03126637,1361
17.04439666,1333
17.05752694,1301
17.07065722,1377
17.0837875,1283
17.09691779,1330
17.11004807,1381
17.12317835,1311
17.13630863,1372
17.14943892,1340
17.1625692,1303
17.17569948,1346
17.18882976,1317
17.20196005,1357
17.21509033,1324
17.22822061,1315
17.2413509,1318
17.25448118,1348
17.26761146,1346
17.28074174,1392
17.29387203,1322
17.30700231,1336
17.32013259,1332
17.33326287,1381
17.34639316,1329
17.35952344,1302
17.37265372,1310
17.38578401,1296
17.39891429,1350
17.41204457,1382
17.42517485,1407
17.43830514,1451
17.45143542,1404
17.4645657,1322
17.47769598,1341
17.49082627,1276
17.50395655,1388
17.51708683,1374
17.53021711,1406
17.5433474,1337
17.55647768,1413
17.56960796,1309
17.58273825,1411
17.59586853,1363
17.60899881,1284
17.62212909,1374
17.63525938,1375
17.64838966,1338
17.66151994,1407
17.67465022,1325
17.68778051,1362
17.70091079,1342
17.71404107,1374
17.72717135,1368
17.74030164,1337
17.75343192,1351
17.7665622,1318
17.77969249,1353
17.79282277,1385
17.80595305,1289
17.81908333,1326
17.83221362,1287
17.8453439,1432
17.85847418,1390
17.87160446,1347
17.88473475,1360
17.89786503,1312
17.91099531,1369
17.92412559,1405
17.93725588,1385
17.95038616,1345
17.96351644,1370
17.97664673,1448
17.98977701,1323
18.00290729,1421
18.01603757,1321
18.02916786,1367
18.04229814,1385
18.05542842,1357
18.0685587,1379
18.08168899,1377
18.09481927,1355
18.10794955,1404
18.12107984,1379
18.13421012,1324
18.1473404,1355
18.16047068,1327
18.17360097,1369
18.18673125,1372
18.19986153,1368
18.21299181,1399
18.2261221,1373
18.23925238,1334
18.25238266,1345
18.26551294,1297
18.27864323,1344
18.29177351,1370
18.30490379,1332
18.31803408,1363
18.33116436,1341
18.34429464,1421
18.35742492,1416
18.37055521,1398
18.38368549,1312
18.39681577,1396
18.40994605,1399
18.42307634,1296
18.43620662,1300
18.4493369,1298
18.46246718,1327
18.47559747,1367
18.48872775,1377
18.50185803,1313
18.51498832,1373
18.5281186,1310
18.54124888,1296
18.55437916,1343
18.56750945,1335
18.58063973,1374
18.59377001,1355
18.60690029,1472
18.62003058,1306
18.63316086,1390
18.64629114,1355
18.65942142,1374
18.67255171,1392
18.68568199,1391
18.69881227,1309
18.71194256,1406
18.72507284,1404
18.73820312,1279
18.7513334,1389
18.76446369,1353
18.77759397,1368
18.79072425,1331
18.80385453,1354
18.81698482,1327
18.8301151,1339
18.84324538,1343
18.85637566,1361
18.86950595,1294
18.88263623,1293
18.89576651,1373
18.9088968,1296
18.92202708,1298
18.93515736,1371
18.94828764,1338
18.96141793,1367
